Time,Temperature,Water_Levels
13:35:00,74,39
13:40:00,75,100
13:45:00,90,100
13:50:00,99,80
13:55:00,120,70
14:00:00,100,60
14:05:00,80,49
14:10:00,72,100
14:15:00,72,100
14:20:00,72,100
14:25:00,72,100
14:30:00,72,100
14:35:00,72,100
14:40:00,72,100
14:45:00,72,100
14:50:00,72,100
14:55:00,72,100
15:00:00,72,100
15:05:00,72,100
15:10:00,72,100
15:15:00,72,100
15:20:00,72,100
15:25:00,72,100
15:30:00,72,100
15:35:00,72,100
15:40:00,72,100
15:45:00,72,100
15:50:00,72,100
15:55:00,72,100
16:00:00,72,100
16:05:00,72,100
16:10:00,72,100
16:15:00,72,100
16:20:00,72,100
16:25:00,72,100
16:30:00,72,100
16:35:00,72,100
16:40:00,72,100
16:45:00,72,100
16:50:00,72,100
16:55:00,72,100
17:00:00,72,100
